gender,ssc_percentage,ssc_board,hsc_percentage,hsc_board,hsc_subject,degree_percentage,undergrad_degree,work_experience,emp_test_percentage,specialisation,mba_percent,status
M,67,Others,91,Others,Commerce,58,Sci&Tech,No,55,Mkt&HR,58.8,Placed
M,79.33,Central,78.33,Others,Science,77.48,Sci&Tech,Yes,86.5,Mkt&Fin,66.28,Placed
M,65,Central,68,Central,Arts,64,Comm&Mgmt,No,75,Mkt&Fin,57.8,Placed
M,56,Central,52,Central,Science,52,Sci&Tech,No,66,Mkt&HR,59.43,Not Placed
M,85.8,Central,73.6,Central,Commerce,73.3,Comm&Mgmt,No,96.8,Mkt&Fin,55.5,Placed
M,55,Others,49.8,Others,Science,67.25,Sci&Tech,Yes,55,Mkt&Fin,51.58,Not Placed
F,46,Others,49.2,Others,Commerce,79,Comm&Mgmt,No,74.28,Mkt&Fin,53.29,Not Placed
M,82,Central,64,Central,Science,66,Sci&Tech,Yes,67,Mkt&Fin,62.14,Placed
M,73,Central,79,Central,Commerce,72,Comm&Mgmt,No,91.34,Mkt&Fin,61.29,Placed
M,58,Central,70,Central,Commerce,61,Comm&Mgmt,No,54,Mkt&Fin,52.21,Not Placed
M,58,Central,61,Central,Commerce,60,Comm&Mgmt,Yes,62,Mkt&HR,60.85,Placed
M,69.6,Central,68.4,Central,Commerce,78.3,Comm&Mgmt,Yes,60,Mkt&Fin,63.7,Placed
F,47,Central,55,Others,Science,65,Comm&Mgmt,No,62,Mkt&HR,65.04,Not Placed
F,77,Central,87,Central,Commerce,59,Comm&Mgmt,No,68,Mkt&Fin,68.63,Placed
M,62,Central,47,Central,Commerce,50,Comm&Mgmt,No,76,Mkt&HR,54.96,Not Placed
F,65,Central,75,Central,Commerce,69,Comm&Mgmt,Yes,72,Mkt&Fin,64.66,Placed
M,63,Central,66.2,Central,Commerce,65.6,Comm&Mgmt,Yes,60,Mkt&Fin,62.54,Placed
F,55,Central,67,Central,Commerce,64,Comm&Mgmt,No,60,Mkt&Fin,67.28,Not Placed
F,63,Central,66,Central,Commerce,64,Comm&Mgmt,No,68,Mkt&HR,64.08,Not Placed
M,60,Others,67,Others,Arts,70,Comm&Mgmt,Yes,50.48,Mkt&Fin,77.89,Placed
M,62,Others,65,Others,Commerce,66,Comm&Mgmt,No,50,Mkt&HR,56.7,Placed
F,79,Others,76,Others,Commerce,85,Comm&Mgmt,No,95,Mkt&Fin,69.06,Placed
F,69.8,Others,60.8,Others,Science,72.23,Sci&Tech,No,55.53,Mkt&HR,68.81,Placed
F,77.4,Others,60,Others,Science,64.74,Sci&Tech,Yes,92,Mkt&Fin,63.62,Placed
M,76.5,Others,97.7,Others,Science,78.86,Sci&Tech,No,97.4,Mkt&Fin,74.01,Placed
F,52.58,Others,54.6,Central,Commerce,50.2,Comm&Mgmt,Yes,76,Mkt&Fin,65.33,Not Placed
M,71,Others,79,Others,Commerce,66,Comm&Mgmt,Yes,94,Mkt&Fin,57.55,Placed
M,63,Others,67,Others,Commerce,66,Comm&Mgmt,No,68,Mkt&HR,57.69,Placed
M,76.76,Others,76.5,Others,Commerce,67.5,Comm&Mgmt,Yes,73.35,Mkt&Fin,64.15,Placed
M,62,Central,67,Central,Commerce,58,Comm&Mgmt,No,77,Mkt&Fin,51.29,Not Placed
F,64,Central,73.5,Central,Commerce,73,Comm&Mgmt,No,52,Mkt&HR,56.7,Placed
F,67,Central,53,Central,Science,65,Sci&Tech,No,64,Mkt&HR,58.32,Not Placed
F,61,Central,81,Central,Commerce,66.4,Comm&Mgmt,No,50.89,Mkt&HR,62.21,Placed
F,87,Others,65,Others,Science,81,Comm&Mgmt,Yes,88,Mkt&Fin,72.78,Placed
M,62,Others,51,Others,Science,52,Others,No,68.44,Mkt&HR,62.77,Not Placed
F,69,Central,78,Central,Commerce,72,Comm&Mgmt,No,71,Mkt&HR,62.74,Placed
M,51,Central,44,Central,Commerce,57,Comm&Mgmt,No,64,Mkt&Fin,51.45,Not Placed
F,79,Central,76,Central,Science,65.6,Sci&Tech,No,58,Mkt&HR,55.47,Placed
F,73,Others,58,Others,Science,66,Comm&Mgmt,No,53.7,Mkt&HR,56.86,Placed
M,81,Others,68,Others,Science,64,Sci&Tech,No,93,Mkt&Fin,62.56,Placed
F,78,Central,77,Others,Commerce,80,Comm&Mgmt,No,60,Mkt&Fin,66.72,Placed
F,74,Others,63.16,Others,Commerce,65,Comm&Mgmt,Yes,65,Mkt&HR,69.76,Not Placed
M,49,Others,39,Central,Science,65,Others,No,63,Mkt&Fin,51.21,Not Placed
M,87,Others,87,Others,Commerce,68,Comm&Mgmt,No,95,Mkt&HR,62.9,Placed
F,77,Others,73,Others,Commerce,81,Comm&Mgmt,Yes,89,Mkt&Fin,69.7,Placed
F,76,Central,64,Central,Science,72,Sci&Tech,No,58,Mkt&HR,66.53,Not Placed
F,70.89,Others,71.98,Others,Science,65.6,Comm&Mgmt,No,68,Mkt&HR,71.63,Not Placed
M,63,Central,60,Central,Commerce,57,Comm&Mgmt,Yes,78,Mkt&Fin,54.55,Placed
